estudiante_skey,id_estudiante,dni,nombre,apellido,genero,fecha_nacimiento,nacionalidad,anio_ingreso,edad_ingreso,egreso_carrera,anio_egreso,abandono_carrera,anio_abandono,nombre_programa,tipo_programa,duracion_programa,anio_plan_programa,facultad_programa,valid_from,valid_to,es_actual,total_inscripciones,es_ingresante_sin_cursada
25,114512,20006443,Rodrigo,Benítez,M,2004-12-16,Boliviana,2020,16,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
131,14758,20030151,Sebastián,Ramos,M,1998-07-15,Argentina,2024,26,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
149,89672,20033117,Iván,Romero,M,2007-08-22,Argentina,2020,13,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
204,76879,20043295,Valeria,Cabrera,F,2003-01-21,Argentina,2024,21,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
236,96370,20047833,Julián,Souza,M,2005-09-11,Venezolana,2020,15,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
321,50232,20066310,Patricia,Castro,F,2007-07-13,Argentina,2021,14,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
382,42252,20078444,Valeria,Oliveira,F,2004-09-30,Peruana,2020,16,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
421,3564,20085401,Leandro,Rojas,M,2006-03-14,Argentina,2020,14,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
478,66542,20097635,Fernando,García,M,2003-05-22,Argentina,2024,21,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
481,16955,20098483,Iván,Lima,M,2000-04-08,Paraguaya,2024,24,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
486,3498,20099430,Gabriela,Rodríguez,F,2005-02-09,Argentina,2020,15,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
