"1","1","C1","Tarde","B02","45","Mat1001","Análisis Matemático I","60","30","0","1","Sofía Valentina","Vega","Magíster En Ciencias De La Computación","Adjunto","Semi-Exclusiva","Ingeniería En Sistemas De Información","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"2","2","C2","Noche","A09","40","Mat1001","Análisis Matemático I","60","30","0","1","Silvina Beatriz","Fernández","Ingeniera Electrónica","Adjunto","Semi-Exclusiva","Ingeniería Electrónica","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"3","3","C1","Mañana","D09","80","Mat1001","Análisis Matemático I","60","30","0","1","Sofía Valentina","Vega","Magíster En Ciencias De La Computación","Adjunto","Semi-Exclusiva","Ingeniería En Sistemas De Información","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"4","4","C2","Noche","D04","35","Mat1001","Análisis Matemático I","60","30","0","1","María Elena","Rodríguez","Doctora En Ciencias De La Computación","Titular","Exclusiva","Ingeniería En Sistemas De Información","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"5","5","C1","Noche","B16","30","Mat1002","Álgebra Y Geometría Analítica","60","30","0","1","Nicolás Emilio","Suárez","Magíster En Redes","Adjunto","Semi-Exclusiva","Ingeniería En Sistemas De Información","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"6","6","C2","Tarde","D08","45","Mat1002","Álgebra Y Geometría Analítica","60","30","0","1","Fernando Daniel","Reyes","Doctor En Física","Asociado","Semi-Exclusiva","Ciencias Básicas","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"7","7","C1","Noche","A20","35","Mat1002","Álgebra Y Geometría Analítica","60","30","0","1","Mariana Soledad","Pereira","Magíster En Matemática","Adjunto","Semi-Exclusiva","Ciencias Básicas","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"8","8","C2","Noche","C09","40","Mat1002","Álgebra Y Geometría Analítica","60","30","0","1","Leandro Damián","Acosta","Doctor En Ingeniería Civil","Titular","Exclusiva","Ingeniería Civil","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"9","9","C1","Mañana","B18","30","Fis1001","Física I","45","30","15","1","Facundo Ezequiel","Jiménez","Magíster En Ciencias De La Computación","Adjunto","Semi-Exclusiva","Ingeniería En Sistemas De Información","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"10","10","C2","Noche","B11","30","Fis1001","Física I","45","30","15","1","Carolina Florencia","Díaz","Ingeniera Civil","Adjunto","Simple","Ingeniería Civil","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"11","11","C1","Noche","B18","40","Fis1001","Física I","45","30","15","1","Rodrigo Matías","Campos","Ingeniero En Sistemas","Adjunto","Simple","Ingeniería En Sistemas De Información","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"12","12","C2","Mañana","B16","45","Fis1001","Física I","45","30","15","1","Sofía Valentina","Vega","Magíster En Ciencias De La Computación","Adjunto","Semi-Exclusiva","Ingeniería En Sistemas De Información","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"13","13","C1","Tarde","L04","40","Qui1001","Química General","30","15","30","1","Héctor Luis","González","Doctor En Física","Titular","Exclusiva","Ciencias Básicas","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"14","14","C2","Noche","D09","30","Qui1001","Química General","30","15","30","1","Carolina Florencia","Díaz","Ingeniera Civil","Adjunto","Simple","Ingeniería Civil","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"15","15","C1","Noche","C10","35","Qui1001","Química General","30","15","30","1","Roberto Augusto","López","Ingeniero Civil","Asociado","Semi-Exclusiva","Ingeniería Civil","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"16","16","C2","Tarde","B04","50","Qui1001","Química General","30","15","30","1","Luciana Paola","Moreno","Ingeniera Química","Adjunto","Simple","Ingeniería Química","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"17","17","C1","Noche","D07","40","Mat2001","Análisis Matemático Ii","60","30","0","2","Facundo Ezequiel","Jiménez","Magíster En Ciencias De La Computación","Adjunto","Semi-Exclusiva","Ingeniería En Sistemas De Información","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"18","18","C2","Noche","L19","40","Mat2001","Análisis Matemático Ii","60","30","0","2","Gabriela Inés","Flores","Magíster En Sistemas De Información","Asociado","Semi-Exclusiva","Ingeniería En Sistemas De Información","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"19","19","C1","Noche","L07","35","Mat2001","Análisis Matemático Ii","60","30","0","2","Alejandra Cecilia","Romero","Doctora En Ingeniería Industrial","Asociado","Semi-Exclusiva","Ingeniería Industrial","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"20","20","C2","Noche","C10","50","Mat2001","Análisis Matemático Ii","60","30","0","2","María Elena","Rodríguez","Doctora En Ciencias De La Computación","Titular","Exclusiva","Ingeniería En Sistemas De Información","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"21","21","C1","Mañana","C13","35","Mat2002","Probabilidad Y Estadística","45","30","0","2","Tomás Agustín","Domínguez","Magíster En Electrónica","Adjunto","Semi-Exclusiva","Ingeniería Electrónica","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"22","22","C2","Noche","C19","80","Mat2002","Probabilidad Y Estadística","45","30","0","2","Silvina Beatriz","Fernández","Ingeniera Electrónica","Adjunto","Semi-Exclusiva","Ingeniería Electrónica","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
"23","23","C1","Noche","D08","50","Mat2002","Probabilidad Y Estadística","45","30","0","2","Cristian Ariel","Ortega","Ingeniero Mecánico","Adjunto","Simple","Ingeniería Mecánica","Facultad Regional Buenos Aires","Buenos Aires","Buenos Aires","2026-05-26",\N,"1"
